  0.100000001       5.54589933E-05
  0.200000003       4.41325130E-04
  0.300000012       1.47636665E-03
  0.400000006       3.45637114E-03
  0.500000000       6.64328877E-03
  0.600000024       1.12552457E-02
  0.699999988       1.74576249E-02
  0.800000012       2.53552198E-02
  0.900000036       3.49861123E-02
   1.00000000       4.63171192E-02
   1.10000002       5.92407584E-02
   1.20000005       7.35742524E-02
   1.30000007       8.90605897E-02
   1.39999998      0.105371222    
   1.50000000      0.122110792    
   1.60000002      0.138823599    
   1.70000005      0.155002132    
   1.80000007      0.170096487    
   1.89999998      0.183526158    
   2.00000000      0.194692180    
